Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Middle Gamma,Cognitive Load,Flow,Focus,Stress
13.254,14.107,13.407,11.746,10.986,11.119,11.015,10.75,0.369,0.564,0.343,0.416
14.98,13.81,12.014,10.459,9.31,9.875,10.065,8.23,0.54,0.776,0.148,0.252
14.499,12.799,11.653,11.253,9.682,9.482,9.969,9.038,0.362,0.67,0.267,0.344
13.589,10.01,10.376,9.425,8.532,7.859,7.659,6.772,0.192,0.548,0.42,0.186
13.727,12.352,11.451,11.223,9.899,9.232,9.56,9.308,0.317,0.612,0.323,0.364
12.517,11.541,9.562,9.262,7.864,7.876,8.163,7.629,0.535,0.822,0.12,0.304
13.396,12.838,11.951,10.381,8.211,9.281,8.588,8.837,0.413,0.876,0.119,0.223
14.575,13.111,11.987,9.308,9.618,9.083,10.404,8.722,0.544,0.713,0.189,0.421
13.497,11.43,11.034,10.964,9.919,8.939,8.677,8.495,0.237,0.508,0.434,0.283
14.363,11.966,7.817,9.5,9.67,9.26,9.451,9.438,0.784,0.439,0.359,0.713
14.592,12.389,10.864,10.689,9.049,9.646,9.256,8.846,0.413,0.631,0.279,0.347
13.717,12.041,11.199,10.259,10.093,10.096,9.223,8.625,0.37,0.417,0.463,0.345
14.341,12.92,10.016,9.967,9.785,9.263,9.391,9.794,0.642,0.61,0.241,0.51
13.26,11.231,9.707,9.401,7.159,7.8,8.512,7.838,0.455,0.914,0.085,0.365
13.961,12.409,10.891,10.658,9.913,9.321,8.868,9.614,0.417,0.569,0.324,0.383
14.797,12.603,10.384,10.053,10.048,9.958,8.702,9.242,0.547,0.477,0.365,0.379
12.634,10.142,10.971,9.177,6.778,8.101,7.452,6.896,0.185,0.818,0.233,0.152
13.728,12.18,11.279,9.443,9.647,9.108,9.583,9.676,0.455,0.57,0.313,0.517
14.118,11.92,11.52,10.056,9.266,10.004,8.594,9.372,0.342,0.506,0.397,0.357
13.487,12.461,9.891,8.495,7.986,7.918,7.744,8.331,0.742,0.916,0.024,0.307
13.584,11.124,10.457,8.495,8.13,8.004,8.922,7.684,0.452,0.707,0.215,0.408
14.54,11.699,11.018,11.256,8.96,10.271,9.143,9.621,0.255,0.507,0.427,0.409
14.152,10.185,9.773,8.929,7.643,8.299,7.813,8.488,0.317,0.588,0.341,0.448
13.87,12.992,11.865,10.84,9.775,10.367,9.19,10.014,0.405,0.573,0.325,0.362
13.818,13.588,10.345,9.982,9.478,9.405,9.317,10.359,0.712,0.724,0.149,0.5
13.582,12.091,9.667,9.036,9.177,8.233,8.081,8.599,0.642,0.662,0.204,0.374
13.711,12.775,10.317,10.477,10.687,9.104,8.283,9.905,0.54,0.531,0.323,0.375
14.657,13.961,11.768,11.43,10.648,10.783,10.839,11.464,0.499,0.562,0.308,0.566
13.146,10.833,8.716,9.148,8.758,8.606,7.587,7.525,0.514,0.466,0.382,0.325
14.566,13.847,8.624,11.163,10.211,10.001,8.628,9.623,0.812,0.597,0.225,0.377
14.133,12.449,8.152,9.788,9.093,9.1,8.126,9.675,0.793,0.598,0.227,0.519
13.889,12.027,11.328,10.158,9.574,9.113,8.904,8.917,0.365,0.584,0.328,0.342
14.09,13.337,11.35,11.983,11.377,10.597,8.947,11.182,0.403,0.443,0.431,0.398
14.103,9.48,8.63,9.399,9,7.909,6.541,8.267,0.257,0.332,0.58,0.363
13.259,11.542,10.578,9.394,8.642,8.573,8.297,8.202,0.423,0.654,0.26,0.315
14.102,13.163,12.268,11.291,11.317,10.411,9.919,10.446,0.362,0.453,0.435,0.416
14.91,13.615,11.673,11.299,10.253,10.24,10.184,10.26,0.47,0.615,0.275,0.43
13.442,11.966,8.563,9.048,7.351,9.121,9.166,8.817,0.747,0.737,0.134,0.591
12.429,12.889,10.871,10.056,8.715,8.667,8.595,9.183,0.544,0.846,0.104,0.322
